attendance,endDate,eventID,name,roomNights,rooms,sqft,startDate,subDate,type,isBooked,baselinePrice,cost
30,43002,16478,Raspberry Pink Productions,,"['Sidney Marcus Auditorium', "" Sidney Marcus Auditorium Interpreter's Booth""]",16067,43002,42984,CON,1,,
2500,43223,16492,"100,000 Initiatives Opportunity",150,"['Exhibit Hall A2', ' Exhibit Hall A3', ' Thomas Murphy Ballroom 1-4']",1126000,43223,43007,JF,1,,
1200,43112,16499,Herzing University Graduation,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Patio']",37831,43112,43040,GRAD,1,,
350,43061,16505,Antidote,1,"['Building B Level 4 Concourse', ' Building B Service Hallway', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Exhibit Hall B5', ' Marshalling Yard 1', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B401', ' Meeting Room B405-B407', ' Meeting Room B408', ' Meeting Room B409']",5167348,43060,43038,FILM,1,,
4050,43310,16506,Fobana Convention,582,"['Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Sidney Marcus Auditorium']",199160,43308,43097,CONF,1,,
300,43218,16511,Perform Better Seminar,1,['Meeting Room B405-B407'],22032,43217,43006,TRAI,1,,
400,43143,16512,Qi Revolution,1,"['Meeting Room B405-B406', ' Meeting Room B407']",44016,43140,43021,OTH,1,,
7232,43309,16516,APS Back-to-School Bash,1,"['Exhibit Hall C1', ' Hall C1 Show Office', ' Yellow Lot Combined']",206252,43309,43186,OTH,1,,
4000,43422,16555,International Make-Up Artist Tradeshow (IMATS),50,"['Exhibit Hall B3', ' Meeting Room B211', ' Meeting Room B212']",491606,43420,43013,CONV,1,,
500,42997,16576,Hanna Brothers,,"['Exhibit Hall C2', ' Exhibit Hall C3', ' Marshalling Yard 2']",2135500,42991,42992,OTH,1,,
2580,43391,16603,Cyber Security Atlanta,750,"['Exhibit Hall C3', ' Exhibit Hall C4']",1580800,43390,43152,EXH,1,,
20000,43397,16608,Kaiser Permanente (KP) Walk,50,"['Exhibit Hall C4', ' Exhibit Halls C1-C3 Combined']",813200,43396,43147,SPORT,1,,
1000,43069,16652,Turner Broadcasting All Hands Meeting,1,"['Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge']",32870,43069,43056,MEET,1,,
831,43209,16661,ACVB Annual Meeting 2018,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Patio', ' Meeting Room C301', ' Meeting Room C302']",119056,43209,43066,REC,1,,
596,43310,16667,Redeemed Christ Church of God North America,140,"['Executive Boardroom', ' Meeting Room A401', ' Meeting Room A402-A403', ' Meeting Room A404-A405', ' Meeting Room A406-A407', ' Meeting Room A410', ' Meeting Room A411-A412']",112859,43307,43097,CONF,1,,
1000,43127,16668,Year Up Greater Atlanta Graduation,1,"['Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge']",32870,43124,43083,GRAD,1,,
600,43387,16673,2018 Susan G. Komen Atlanta 3 Day,1,"['Exhibit Hall A2', ' Exhibit Hall A3', ' Marshalling Yard 2', ' Meeting Room A309']",1500691,43385,43159,CHRTY,1,,
900,43382,16679,Crime is Toast Breakfast,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Mezzanine', ' Georgia Ballroom Patio']",82736,43381,43172,ME,1,,
150,43050,16682,"Junior Achievement of Georgia, Inc. Leadership Training",,"['JA BizTown Cafe', ' JA Finance Park Check-In', ' JA Finance Park Classroom', ' JA Finance Park Courtyard', ' JA Finance Park Theater']",0,43050,43006,TRAI,1,,
5731,43254,16692,The Ultimate Women's Expo,1,"['Exhibit Hall C1', ' Exhibit Hall C2', ' Hall C1 Show Office', ' Marshalling Yard 3a', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110']",1031610,43253,43140,PUB,1,,
3100,43183,16694,Regional Mathfest Competition,1,"['Exhibit Hall B1', ' Exhibit Hall B2', ' Meeting Room B207-B208', ' Meeting Room B209']",192364,43183,43014,COMP,1,,
650,43088,16705,New Wedding Ceremony,1,['East Plaza'],148353,43088,43054,WED,1,,
3957,43574,16713,Ulta GMC 2019,8353,"['Building A-B Registration Hall', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall Meeting Room B101-103 Combined', ' Exhibit Halls B3-B4 Combined', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207-B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211-B212', ' Meeting Room B213-B214', ' Meeting Room B215', ' Meeting Room B216-217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302-B303', ' Meeting Room B304-B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308-B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312-B313A', ' Meeting Room B313B-B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B401-B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405-B406A', ' Meeting Room B406B-B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4']",4533260,43569,43097,MEET,1,,
600,43223,16742,H2Oscars,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Patio']",37831,43223,43147,AWC,1,,
5500,43308,16749,American InterContinental University Graduation,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Mezzanine', ' Georgia Ballroom Patio', ' Meeting Room C301', ' Meeting Room C302']",44831,43308,43077,GRAD,1,,
30,43042,16764,Atlanta Public Schools Principal Meeting,,['JA Finance Park Classroom'],0,43040,43020,MEET,1,,
700,43267,16807,TUNER EVOLUTION,1,"['Exhibit Hall C1', ' Exhibit Hall C2', ' Hall C1 Show Office', ' Hall C2 Show Office']",418950,43266,43144,PUB,1,,
2000,43418,16815,The Atlanta Women's Foundation - Numbers Too Big to Ignore,1,"['Executive Boardroom', ' Meeting Room B401', ' Meeting Room B402', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']",170239,43418,43104,ME,1,,
